📺央视频道,#genre#
黑龙江卫视,http://123.157.31.182:7912/rtp/233.50.201.115:5140
黑龙江卫视,http://114.252.236.205:8000/rtp/239.3.1.133:8016
黑龙江卫视,http://114.240.224.31:3000/rtp/239.3.1.133:8016
黑龙江卫视,http://114.253.57.101:10000/rtp/239.3.1.133:8016
黑龙江卫视,http://183.66.15.138:4070/rtp/235.254.198.27:1384
黑龙江卫视,http://112.255.69.58:6666/rtp/239.253.254.93:8000
黑龙江卫视,http://49.79.3.119:8890/rtp/239.49.1.50:6000
黑龙江卫视,http://117.86.49.151:7777/rtp/239.49.1.50:6000
黑龙江卫视,http://117.86.50.46:7777/rtp/239.49.1.50:6000
安徽卫视,http://114.95.156.205:4022/rtp/239.45.1.120:5140
安徽卫视,http://123.157.31.182:7912/rtp/233.50.201.113:5140
安徽卫视,http://114.252.236.205:8000/rtp/239.3.1.211:8064
安徽卫视,http://114.240.224.31:3000/rtp/239.3.1.211:8064
安徽卫视,http://114.253.57.101:10000/rtp/239.3.1.211:8064
安徽卫视,http://183.66.15.138:4070/rtp/235.254.198.20:1356
安徽卫视,http://112.255.69.58:6666/rtp/239.253.254.87:8000
安徽卫视,http://49.79.3.119:8890/rtp/239.49.8.204:6000
安徽卫视,http://117.86.49.151:7777/rtp/239.49.8.204:6000
安徽卫视,http://117.86.50.46:7777/rtp/239.49.8.204:6000
重庆卫视,http://114.95.156.205:4022/rtp/239.45.1.84:5140
重庆卫视,http://123.157.31.182:7912/rtp/233.50.201.143:5140
重庆卫视,http://114.252.236.205:8000/rtp/239.3.1.122:8160
重庆卫视,http://114.240.224.31:3000/rtp/239.3.1.122:8160
重庆卫视,http://114.253.57.101:10000/rtp/239.3.1.122:8160
重庆卫视,http://183.66.15.138:4070/rtp/235.254.198.34:1412
重庆卫视,http://112.255.69.58:6666/rtp/239.253.254.38:8000
重庆卫视,http://49.79.3.119:8890/rtp/239.49.8.149:6000
重庆卫视,http://117.86.49.151:7777/rtp/239.49.8.149:6000
重庆卫视,http://117.86.50.46:7777/rtp/239.49.8.149:6000
东方卫视,http://114.95.156.205:4022/rtp/239.45.3.146:5140
东方卫视,http://123.157.31.182:7912/rtp/233.50.201.125:5140
东方卫视,http://114.252.236.205:8000/rtp/239.3.1.136:8032
东方卫视,http://114.240.224.31:3000/rtp/239.3.1.136:8032
东方卫视,http://114.253.57.101:10000/rtp/239.3.1.136:8032
东方卫视,http://183.66.15.138:4070/rtp/235.254.198.33:1408
东方卫视,http://112.255.69.58:6666/rtp/239.253.254.86:8000
东方卫视,http://49.79.3.119:8890/rtp/239.49.8.140:6000
东方卫视,http://117.86.49.151:7777/rtp/239.49.8.140:6000
东方卫视,http://117.86.50.46:7777/rtp/239.49.8.140:6000
东南卫视,http://114.95.156.205:4022/rtp/239.45.1.121:5140
东南卫视,http://123.157.31.182:7912/rtp/233.50.201.146:5140
东南卫视,http://114.252.236.205:8000/rtp/239.3.1.156:8148
东南卫视,http://114.240.224.31:3000/rtp/239.3.1.156:8148
东南卫视,http://114.253.57.101:10000/rtp/239.3.1.156:8148
东南卫视,http://183.66.15.138:4070/rtp/235.254.198.35:1416
东南卫视,http://112.255.69.58:6666/rtp/239.253.254.105:8000
东南卫视,http://49.79.3.119:8890/rtp/239.49.8.186:6000
东南卫视,http://117.86.49.151:7777/rtp/239.49.8.186:6000
东南卫视,http://117.86.50.46:7777/rtp/239.49.8.186:6000
甘肃卫视,http://114.95.156.205:4022/rtp/239.45.1.234:5140
甘肃卫视,http://123.157.31.182:7912/rtp/233.50.201.149:5140
甘肃卫视,http://114.252.236.205:8000/rtp/239.3.1.49:8188
甘肃卫视,http://114.240.224.31:3000/rtp/239.3.1.49:8188
甘肃卫视,http://114.253.57.101:10000/rtp/239.3.1.49:8188
甘肃卫视,http://183.66.15.138:4070/rtp/235.254.198.48:1468
甘肃卫视,http://112.255.69.58:6666/rtp/239.253.254.74:8000
甘肃卫视,http://49.79.3.119:8890/rtp/239.49.1.238:6000
甘肃卫视,http://117.86.49.151:7777/rtp/239.49.1.238:6000
甘肃卫视,http://117.86.50.46:7777/rtp/239.49.1.238:6000
广西卫视,http://114.95.156.205:4022/rtp/239.45.0.5:5140
广西卫视,http://123.157.31.182:7912/rtp/233.50.201.49:5140
广西卫视,http://114.252.236.205:8000/rtp/239.3.1.39:8300
广西卫视,http://114.240.224.31:3000/rtp/239.3.1.39:8300
广西卫视,http://114.253.57.101:10000/rtp/239.3.1.39:8300
广西卫视,http://183.66.15.138:4070/rtp/235.254.198.38:1428
广西卫视,http://112.255.69.58:6666/rtp/239.253.254.197:8000
广西卫视,http://49.79.3.119:8890/rtp/239.49.8.209:6000
广西卫视,http://117.86.49.151:7777/rtp/239.49.8.209:6000
广西卫视,http://117.86.50.46:7777/rtp/239.49.8.209:6000
贵州卫视,http://114.95.156.205:4022/rtp/239.45.1.80:5140
贵州卫视,http://123.157.31.182:7912/rtp/233.50.201.142:5140
